"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CG12991",1.55873038571751e-140,0.681867110702835,0.561,0.113,1.74063422173074e-136,"LT","CG12991"
"Prip",5.86805980865412e-138,0.643222437623695,0.505,0.092,6.55286238832405e-134,"LT","Prip"
"l(2)k059111",4.41339939329369e-134,0.831785676567767,0.642,0.165,4.92844310249106e-130,"LT","l(2)k05911"
"Mmp1",1.01036350375302e-132,0.979769009971352,0.978,0.765,1.12827292464099e-128,"LT","Mmp1"
"CG153531",2.51326459434533e-132,1.13470129358014,0.984,0.846,2.80656257250543e-128,"LT","CG15353"
"abd-A",3.77106412451374e-125,0.540009854589151,0.427,0.069,4.21114730784449e-121,"LT","abd-A"
"wtrw",5.95847277844668e-125,0.512539106875408,0.439,0.075,6.65382655169141e-121,"LT","wtrw"
"l(2)34Fc1",4.23384038775264e-124,0.786946501047222,0.62,0.148,4.72792956100338e-120,"LT","l(2)34Fc"
"wun2",6.69590161463331e-122,0.526349724970947,0.424,0.071,7.47731333306102e-118,"LT","wun2"
"b",9.25630871217274e-118,0.599464578219571,0.396,0.063,1.03365199388833e-113,"LT","b"
"cer",3.63486947014231e-111,0.792108782256451,0.972,0.679,4.05905873730792e-107,"LT","cer"
"CG9691",8.35818901419005e-92,0.806901714905639,0.9,0.523,9.33358967214603e-88,"LT","CG9691"
"rhea",7.47882571040957e-89,0.557637916386792,0.601,0.192,8.35160467081436e-85,"LT","rhea"
"Lmpt",6.71093702877036e-86,0.510545182533129,0.442,0.107,7.49410338002786e-82,"LT","Lmpt"
"Spn100A2",5.81329004903623e-82,0.850511026060839,0.85,0.537,6.49170099775876e-78,"LT","Spn100A"
"cdi",1.93868123141551e-79,0.716529758105091,0.692,0.324,2.16492533112169e-75,"LT","cdi"
"CG13082",8.50953611055494e-77,0.827874982938873,0.667,0.311,9.5025989746567e-73,"LT","CG13082"
"CG1572",3.33909227208083e-71,0.534786956093076,0.517,0.159,3.72876434023267e-67,"LT","CG1572"
"obst-A",1.14136295322181e-69,0.693873061630529,0.888,0.72,1.27456000986279e-65,"LT","obst-A"
"fabp",3.58779966061194e-68,0.572190210512568,0.953,0.928,4.00649588100536e-64,"LT","fabp"
"Reg-5",5.15629159489885e-67,0.565274936654261,0.953,0.864,5.75803082402354e-63,"LT","Reg-5"
"CG141321",1.93999146479394e-66,0.683095892638223,0.598,0.252,2.1663884687354e-62,"LT","CG14132"
"CG4928",1.03088956197652e-65,0.678273011374719,0.688,0.333,1.15119437385918e-61,"LT","CG4928"
"NLaz",1.08980720625404e-61,0.829452660098247,0.455,0.143,1.21698770722389e-57,"LT","NLaz"
"Pgant5",7.03550665181218e-61,0.716447528154362,0.66,0.373,7.85655027807866e-57,"LT","Pgant5"
"CG17549",1.52358920995885e-59,0.524449902446421,0.551,0.206,1.70139207076105e-55,"LT","CG17549"
"CG13606",2.31888802077373e-54,0.618922721828212,0.287,0.066,2.58950225279803e-50,"LT","CG13606"
"Cht51",8.11756753868893e-54,0.547980841267649,0.879,0.628,9.06488767045393e-50,"LT","Cht5"
"CG5151",2.44255117119595e-52,0.581732291111183,0.673,0.377,2.72759689287451e-48,"LT","CG5151"
"CG37771",6.4741042007452e-52,0.610286641765346,0.636,0.332,7.22963216097216e-48,"LT","CG3777"
"Npc2b",1.70605062109792e-47,0.707283269867342,0.271,0.067,1.90514672858005e-43,"LT","Npc2b"
"Dl2",1.1833223328189e-46,0.594173516743196,0.685,0.412,1.32141604905886e-42,"LT","Dl"
"ple",2.67243156797727e-40,0.710533225135077,0.402,0.154,2.98430433196022e-36,"LT","ple"
"Gs21",1.52799849031299e-39,0.693021441820264,0.302,0.093,1.70631591413251e-35,"LT","Gs2"
"CG20161",3.22934204356991e-39,0.51001820100305,0.919,0.735,3.60620626005452e-35,"LT","CG2016"
"CG1532",7.94162758419602e-35,0.529576775924617,0.576,0.348,8.86841552327169e-31,"LT","CG1532"
"CREG",2.9089386707829e-31,0.909587877369229,0.377,0.17,3.24841181366327e-27,"LT","CREG"
"Obp56d",8.23925963777458e-29,0.731678662059338,0.34,0.141,9.20078123750287e-25,"LT","Obp56d"
"CG9336",5.0640126985826e-25,0.589572910579611,0.237,0.083,5.65498298050719e-21,"LT","CG9336"
"CG9449",0,1.78417491461471,0.861,0.017,0,"GB","CG9449"
"CG9452",0,1.73121539242275,0.792,0.008,0,"GB","CG9452"
"CG7778",0,1.4824194373996,0.889,0.016,0,"GB","CG7778"
"Clect27",0,1.12827388796267,0.792,0.013,0,"GB","Clect27"
"Pu",0,1.09692055139587,0.583,0.01,0,"GB","Pu"
"CG9701",0,0.987514754552215,0.611,0.005,0,"GB","CG9701"
"Lcp1",0,0.976797675299406,0.597,0.006,0,"GB","Lcp1"
"NT5E-2",0,0.913696941013219,0.722,0.012,0,"GB","NT5E-2"
"Lcp4",0,0.830899367511608,0.569,0.002,0,"GB","Lcp4"
"CG12655",0,0.810849190532077,0.528,0.009,0,"GB","CG12655"
"CG34227",0,0.756537282035993,0.528,0.001,0,"GB","CG34227"
"sona",0,0.717262133383667,0.556,0.011,0,"GB","sona"
"lncRNA:CR44918",0,0.709104261046996,0.569,0.009,0,"GB","lncRNA:CR44918"
"Cpr78E",0,0.693807591584696,0.486,0.005,0,"GB","Cpr78E"
"CG42269",0,0.559092772998712,0.389,0.002,0,"GB","CG42269"
"Listericin",0,0.531865934969358,0.347,0.003,0,"GB","Listericin"
"CG11816",4.97358716170697e-255,1.5741461562243,0.889,0.042,5.55400478347818e-251,"GB","CG11816"
"CG8501",1.27201497205089e-250,1.32511168098793,0.875,0.043,1.42045911928923e-246,"GB","CG8501"
"Irc",1.41979095381475e-239,0.699964545510172,0.569,0.017,1.58548055812493e-235,"GB","Irc"
"CG136061",5.01955073001708e-214,1.95201192641963,0.972,0.066,5.60533230021008e-210,"GB","CG13606"
"CG33156",9.83434943182685e-211,0.950358358143405,0.667,0.028,1.0982018010521e-206,"GB","CG33156"
"pinta",1.3115548024774e-171,0.595045353974526,0.556,0.023,1.46461324792651e-167,"GB","pinta"
"CG15673",1.30751978796966e-159,0.856791488031271,0.722,0.045,1.46010734722572e-155,"GB","CG15673"
"regucalcin",1.13081718034752e-156,1.57591275108666,0.972,0.096,1.26278354529408e-152,"GB","regucalcin"
"Cpr56F",6.88733569210654e-156,0.745163191003226,0.444,0.016,7.69108776737538e-152,"GB","Cpr56F"
"CG143561",1.33375813250916e-137,0.841316209960213,0.556,0.03,1.48940770657298e-133,"GB","CG14356"
"Hsp67Bc",7.78808717583287e-133,1.21823075875242,0.792,0.068,8.69695694925256e-129,"GB","Hsp67Bc"
"CG34325",2.75262803798984e-129,0.921314303831684,0.75,0.063,3.07385973002325e-125,"GB","CG34325"
"CG14439",2.38417268288683e-128,1.91475266001662,0.986,0.13,2.66240563497973e-124,"GB","CG14439"
"Sesn",2.49178913853327e-119,1.07251087034393,0.708,0.061,2.7825809310001e-115,"GB","Sesn"
"Cpr49Ac",2.87037759675205e-114,1.26628641898834,0.819,0.082,3.20535066229301e-110,"GB","Cpr49Ac"
"Drip",5.42258175877268e-114,1.01457211997557,0.694,0.06,6.05539705002145e-110,"GB","Drip"
"CG7367",7.62423969298654e-112,1.13169607253759,0.806,0.084,8.51398846515808e-108,"GB","CG7367"
"ple1",1.28916434530396e-102,2.07717775668329,0.958,0.156,1.43960982440093e-98,"GB","ple"
"CG1698",1.50321473331962e-99,1.23467380897637,0.819,0.105,1.67863989269802e-95,"GB","CG1698"
"AANAT11",1.3185977407301e-98,1.4253988331263,0.778,0.093,1.4724780970733e-94,"GB","AANAT1"
"CG14567",3.06161773598344e-95,0.738158457593558,0.625,0.056,3.4189085257727e-91,"GB","CG14567"
"CG129911",2.14778657314289e-93,1.15390499002623,0.861,0.123,2.39843326622867e-89,"GB","CG12991"
"CG9192",4.3515735104383e-92,1.48543805490541,0.722,0.083,4.85940213910645e-88,"GB","CG9192"
"CG10960",2.32256336638667e-90,0.801103089696984,0.597,0.055,2.593606511244e-86,"GB","CG10960"
"CREG1",3.35796199187908e-89,1.65687783375801,0.944,0.171,3.74983615633137e-85,"GB","CREG"
"Cpr12A",4.6260133228573e-89,1.49428011823643,0.931,0.155,5.16586907763474e-85,"GB","Cpr12A"
"Idgf41",1.67665359103972e-82,1.68900331977496,1,0.227,1.87231906511406e-78,"GB","Idgf4"
"daw",3.86726882467032e-82,0.648727227174,0.542,0.048,4.31857909650935e-78,"GB","daw"
"lncRNA:CR45559",6.2168436370556e-78,0.903738990559196,0.611,0.068,6.94234928949998e-74,"GB","lncRNA:CR45559"
"CG24441",2.17172769399282e-77,0.891480314175513,0.5,0.043,2.42516831588178e-73,"GB","CG2444"
"CG7906",2.87185677252241e-73,0.53104836766861,0.208,0.007,3.20700245787578e-69,"GB","CG7906"
"CG16721",2.17306897363595e-71,1.00218179335962,0.736,0.117,2.42666612285927e-67,"GB","CG16721"
"NijC",2.58281373682313e-71,1.22748860831734,0.931,0.209,2.88422809991039e-67,"GB","NijC"
"fry",6.0935569626611e-70,0.653680868666848,0.667,0.088,6.80467506020365e-66,"GB","fry"
"aay",4.0380282093909e-68,0.707558055538919,0.694,0.098,4.50926610142682e-64,"GB","aay"
"Cpr47Ee",4.81478535601578e-67,0.870087254992918,0.389,0.03,5.37667080706282e-63,"GB","Cpr47Ee"
"CG175491",2.30940704098852e-65,1.19705731638473,0.903,0.213,2.57891484267188e-61,"GB","CG17549"
"e",3.62043226831956e-65,0.927007660359909,0.472,0.048,4.04293671403245e-61,"GB","e"
"CG5273",5.77982374750382e-63,0.918042792430243,0.736,0.13,6.45432917883752e-59,"GB","CG5273"
"CG5835",4.3052512325688e-59,1.21103926387323,0.861,0.225,4.80767405140958e-55,"GB","CG5835"
"mlt",9.42553670729021e-59,0.549815672470382,0.542,0.067,1.0525496841031e-54,"GB","mlt"
"CG2145",4.18229614829338e-55,0.685527725548202,0.653,0.106,4.67037010879921e-51,"GB","CG2145"
"Ctl2",7.38095766964884e-55,1.0166946094517,0.806,0.188,8.24231542969686e-51,"GB","Ctl2"
"CG3355",2.30117854665354e-53,1.33303430285201,0.722,0.14,2.569726083048e-49,"GB","CG3355"
"Drsl5",2.88400077638761e-53,0.63721300600928,0.306,0.023,3.22056366699204e-49,"GB","Drsl5"
"sad",4.32293688080166e-51,0.681952849751663,0.653,0.109,4.82742361479122e-47,"GB","sad"
"PGRP-SA",7.02885227700974e-50,0.825013157085267,0.667,0.121,7.84911933773678e-46,"GB","PGRP-SA"
"CG9312",5.79044990248872e-49,0.948957558318392,0.889,0.238,6.46619540610915e-45,"GB","CG9312"
"CG11882",8.041933326662e-49,0.906749282150938,0.819,0.223,8.98042694588345e-45,"GB","CG11882"
"CG49281",9.07647869222136e-49,1.13759694192416,0.931,0.34,1.01357037556036e-44,"GB","CG4928"
"LRP1",2.32816330052678e-48,0.753485777121283,0.639,0.119,2.59985995769825e-44,"GB","LRP1"
"Spn100A3",6.81650213950673e-48,1.58466508817459,0.972,0.544,7.61198793918716e-44,"GB","Spn100A"
"CG9003",6.988273212895e-48,0.590072134288183,0.583,0.094,7.80380469683984e-44,"GB","CG9003"
"Mur89F1",3.25209221646798e-47,0.889502033988293,0.653,0.117,3.63161137812979e-43,"GB","Mur89F"
"CG5059",2.41511797931517e-46,0.883832011689948,0.806,0.226,2.69696224750125e-42,"GB","CG5059"
"slgA1",2.80128528378243e-46,0.959550748076528,0.847,0.257,3.12819527639984e-42,"GB","slgA"
"bab2",5.1313756669209e-45,0.55480001534672,0.597,0.099,5.73020720725057e-41,"GB","bab2"
"MFS16",1.65603960879288e-44,0.588346027452497,0.625,0.117,1.84929943113901e-40,"GB","MFS16"
"stai",2.05359392357893e-44,1.21206237361177,0.944,0.427,2.29324833446059e-40,"GB","stai"
"scb",2.01597925059398e-43,0.717219785772535,0.583,0.109,2.2512440291383e-39,"GB","scb"
"b1",4.25123666902024e-42,0.5861710885051,0.486,0.071,4.7473559882949e-38,"GB","b"
"cer1",7.04524396180513e-42,1.12840771678942,0.986,0.687,7.86742393214779e-38,"GB","cer"
"CG6891",1.43101353371599e-41,1.07270682087401,0.917,0.421,1.59801281310064e-37,"GB","CG6891"
"CG6770",2.989941926123e-41,0.568186118471852,1,0.998,3.33886814890155e-37,"GB","CG6770"
"CG10939",7.85989810231742e-41,0.698672779102752,0.681,0.156,8.77714821085786e-37,"GB","CG10939"
"Doa1",1.78495576189385e-40,1.14452557006292,0.847,0.301,1.99326009930686e-36,"GB","Doa"
"Cln7",2.11014707385346e-40,0.572366405219152,0.639,0.131,2.35640123737216e-36,"GB","Cln7"
"CG1103",2.48385794523059e-40,0.849677542206441,0.833,0.285,2.773724167439e-36,"GB","CG1103"
"Fer2LCH",3.09053683424212e-40,0.828745238308937,0.972,0.656,3.45120248279817e-36,"GB","Fer2LCH"
"Sirup1",1.5583292409627e-39,1.27551297813567,0.806,0.266,1.74018626338305e-35,"GB","Sirup"
"CG7860",4.05402386178856e-37,0.827802835689108,0.722,0.194,4.52712844645929e-33,"GB","CG7860"
"CG10337",4.37760777474812e-37,0.512463569737562,0.5,0.086,4.88847460206122e-33,"GB","CG10337"
"CG17919",6.72086984775148e-37,0.914438299057741,0.875,0.316,7.50519535898408e-33,"GB","CG17919"
"Sox14",3.01574775217324e-36,0.742967822623292,0.778,0.239,3.36768551485186e-32,"GB","Sox14"
"NK7.1",9.98921777341059e-36,0.551439610500105,0.528,0.1,1.11549594875676e-31,"GB","NK7.1"
"CG7924",1.08244750999628e-35,0.52223438462588,0.208,0.016,1.20876913441285e-31,"GB","CG7924"
"CG1907",4.8454701387825e-35,0.822983248496199,0.667,0.187,5.41093650397842e-31,"GB","CG1907"
"CG32039",7.02586229330491e-35,0.57903179983791,0.611,0.139,7.84578042293359e-31,"GB","CG32039"
"CG4502",2.05461039491845e-34,0.882926931940362,0.833,0.315,2.29438342800544e-30,"GB","CG4502"
"CG42675",2.69627946817708e-34,0.758702210564375,0.653,0.171,3.01093528211335e-30,"GB","CG42675"
"csw1",3.23441432503279e-34,0.750700730194905,0.681,0.178,3.61187047676411e-30,"GB","csw"
"Non1",4.22626106717356e-34,0.556232736548852,0.667,0.161,4.71946573371272e-30,"GB","Non1"
"Pde11",2.38603292379758e-33,0.698482420378087,0.694,0.204,2.66448296600476e-29,"GB","Pde11"
"Dmtn",4.44932803153717e-33,0.691110522501688,0.639,0.163,4.96856461281756e-29,"GB","Dmtn"
"CG7294",1.03958690240486e-32,0.677332661359716,0.278,0.031,1.16090669391551e-28,"GB","CG7294"
"fax",7.16581829149578e-32,0.590885540597141,1,0.887,8.00206928611333e-28,"GB","fax"
"SKIP",2.95457616733557e-31,0.77212965213046,0.736,0.227,3.29937520606363e-27,"GB","SKIP"
"CG301971",6.89276695516305e-31,0.830281645270561,0.819,0.289,7.69715285883057e-27,"GB","CG30197"
"CG15309",1.33956485210705e-30,0.530753612510007,0.639,0.16,1.49589207034795e-26,"GB","CG15309"
"l(1)G0193",3.88496730387549e-30,0.727340147649928,0.806,0.326,4.33834298823776e-26,"GB","l(1)G0193"
"sano1",1.54448293791783e-29,0.785665981290826,1,0.665,1.72472409677285e-25,"GB","sano"
"CG3164",3.67390267659698e-29,0.647385310392842,0.667,0.208,4.10264711895584e-25,"GB","CG3164"
"CD98hc",5.07673615871158e-29,0.832046944236856,0.736,0.28,5.66919126843322e-25,"GB","CD98hc"
"Glut4EF",8.89201313469354e-29,0.932155580496846,0.778,0.319,9.92971106751228e-25,"GB","Glut4EF"
"Arc1",1.86772631076879e-28,0.837646728492711,0.694,0.222,2.0856899712355e-24,"GB","Arc1"
"crq",6.77675428169121e-28,0.576419235418815,0.625,0.178,7.56760150636458e-24,"GB","crq"
"Akap200",6.28122418535668e-27,0.55514788477825,0.986,0.91,7.0142430477878e-23,"GB","Akap200"
"CG34296",6.6533346483457e-27,0.684416272331714,0.472,0.107,7.42977880180764e-23,"GB","CG34296"
"CG34244",9.57426896672043e-27,0.575091845271115,0.153,0.012,1.06915861551367e-22,"GB","CG34244"
"Zasp52",1.55080708648252e-26,0.691590223444248,0.667,0.216,1.73178627347503e-22,"GB","Zasp52"
"Sap-r",1.746423103088e-26,0.698401992979336,0.917,0.586,1.95023067921837e-22,"GB","Sap-r"
"Atg8a",2.39707249378103e-26,0.584326042068701,0.972,0.796,2.67681085380528e-22,"GB","Atg8a"
"msn",3.99997390188271e-26,0.656506662316858,0.833,0.376,4.46677085623242e-22,"GB","msn"
"Spn88Ea",4.97819614243405e-26,0.739566359804623,0.792,0.387,5.55915163225611e-22,"GB","Spn88Ea"
"fok",6.16070799266351e-26,0.589263834852752,0.569,0.157,6.87966261540734e-22,"GB","fok"
"ab1",6.87396149843346e-26,0.939081279051306,0.806,0.413,7.67615280530064e-22,"GB","ab"
"Fer1HCH",4.84973141195459e-25,0.656862997515292,0.889,0.578,5.41569506772969e-21,"GB","Fer1HCH"
"CG16791",5.01216401671563e-25,0.640455668115899,0.611,0.198,5.59708355746634e-21,"GB","CG16791"
"Ubi-p5E",2.72784660056584e-24,0.598900954258355,0.958,0.692,3.04618629885188e-20,"GB","Ubi-p5E"
"hth1",3.0836179103708e-24,0.664287942170297,1,0.75,3.44347612051107e-20,"GB","hth"
"lncRNA:CR43626",5.80102617036339e-24,1.04922262326799,0.542,0.17,6.4780059244448e-20,"GB","lncRNA:CR43626"
"d",1.17852543185537e-23,0.577963278833651,0.653,0.217,1.31605934975289e-19,"GB","d"
"Sb1",5.38704157238829e-23,0.645414519146783,0.708,0.25,6.015709323886e-19,"GB","Sb"
"CG34417",2.37376996199069e-22,0.68897268850082,0.847,0.445,2.65078891655501e-18,"GB","CG34417"
"CG9005",5.46147388284814e-22,0.633903517658092,0.653,0.251,6.09882788497652e-18,"GB","CG9005"
"kay",3.01481152522871e-21,0.578835782063243,0.722,0.3,3.3666400302229e-17,"GB","kay"
"CG13117",3.6287645010505e-21,0.562417401806801,0.708,0.255,4.0522413183231e-17,"GB","CG13117"
"Ptp99A",6.25776118939473e-21,0.506995173863915,0.556,0.172,6.9880419201971e-17,"GB","Ptp99A"
"Ance",6.51478487167297e-21,0.70179459462908,0.806,0.358,7.27506026619721e-17,"GB","Ance"
"Scr1",6.9182649297901e-21,0.546377275333287,0.444,0.111,7.7256264470966e-17,"GB","Scr"
"Cortactin",7.91711509234259e-21,0.50227843875832,0.708,0.262,8.84104242361897e-17,"GB","Cortactin"
"Tep4",1.05175884496299e-20,0.547311283172144,0.528,0.164,1.17449910217017e-16,"GB","Tep4"
"baz",1.30728205772879e-19,0.519222648029857,0.681,0.272,1.45984187386574e-15,"GB","baz"
"lqf",1.65776663712649e-19,0.505493180054354,0.931,0.717,1.85122800367915e-15,"GB","lqf"
"CG42684",1.55860264384237e-18,0.564938321205263,0.722,0.361,1.74049157237877e-14,"GB","CG42684"
"Obp56d1",1.8996101430898e-18,0.543672569974377,0.5,0.145,2.12129464678838e-14,"GB","Obp56d"
"kuz",5.63289873142212e-18,0.565811984656769,0.875,0.573,6.29025801337908e-14,"GB","kuz"
"Pvr",1.52092629022486e-17,0.533037306711918,0.639,0.271,1.6984183882941e-13,"GB","Pvr"
"Spn43Aa2",1.63504630391213e-17,0.581762561440063,0.972,0.817,1.82585620757868e-13,"GB","Spn43Aa"
"Indy",1.93145567732804e-17,0.507758601857192,0.625,0.248,2.15685655487222e-13,"GB","Indy"
"Reg-51",2.34038227568773e-16,0.532256920600508,0.944,0.866,2.61350488726048e-12,"GB","Reg-5"
"robo21",4.97337888307228e-16,0.618629835785616,0.681,0.3,5.55377219872681e-12,"GB","robo2"
"CG3655",5.05013962933439e-16,0.598490982152395,0.639,0.298,5.63949092407772e-12,"GB","CG3655"
"Drat",5.8686231635623e-16,0.595959215174788,0.653,0.293,6.55349148675003e-12,"GB","Drat"
"CG12004",3.14511820668539e-15,0.60094736119149,0.681,0.404,3.51215350140557e-11,"GB","CG12004"
"dally",6.83315169634206e-15,0.570500099116162,0.806,0.476,7.63058049930518e-11,"GB","dally"
"CAH1",6.09780546846547e-14,0.660135094555525,0.556,0.239,6.8094193666354e-10,"GB","CAH1"
"cv-c",2.07767916988472e-13,0.570331525275152,0.889,0.659,2.32014432901027e-09,"GB","cv-c"
"rudhira",2.20591280206395e-13,0.515392197526257,0.639,0.351,2.46334282606481e-09,"GB","rudhira"
"drongo",6.39400459636031e-13,0.501381587458025,0.694,0.368,7.14018493275556e-09,"GB","drongo"
